link,product_name,price,discount,error,scraped_at
https://www.amazon.in/amazon-basics-Geometric-Sculpture-Power-Packed/dp/B0DVQ3G3T6?crid=492BPPIHAVOB&dib=eyJ2IjoiMSJ9.awi6bXa9l01_XOAN8vcQcxcdQL029tQTiRPraTy-r4veNsl7yClnjZx4U99dPbg3y87oQnJic7Ft6GODXubzSIVmzLiRBm8hs83DrEzjOLD1n32WLUcnR_-Cd8oXr1E-6Sg_LnBp3-aS_BM67EhAlI3M5uLGNNO9CPcJUwxeox1OWy8_Za6IC03335sb_XV34qBCBzwEparDugCNxDO5kZfvnR5Qn_4KStVGsa6iE3LCpZlwR4N5clmGPhcRUFGGXxgRIrOa1QfqChkAqs7IQc5PzInMwm94cUiLfnhiLAc.1Dhtfbz2qyd7z3n2bXTOqFPRG4z4oDUNzyl0MmF7YoI&dib_tag=se&keywords=home+decoration+items+for+living+room&qid=1756095022&sprefix=home+%2Caps%2C288&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=ll1&tag=priceswoop04-21&linkId=48e5a29bdcead9951bca95fd6316ef4c&language=en_IN&ref_=as_li_ss_tl,"amazon basics Majestic Geometric Lion Sculpture | A Bold Emblem of Strength & Success | Power-Packed Décor Statement Pack of 1, Golden, Resin",₹629.00,,,2025-12-06 14:28:39
https://www.amazon.in/Artvibes-Designer-Decoration-Livingroom-Decorative/dp/B0CJLSF2T2?crid=492BPPIHAVOB&dib=eyJ2IjoiMSJ9.awi6bXa9l01_XOAN8vcQcxcdQL029tQTiRPraTy-r4veNsl7yClnjZx4U99dPbg3y87oQnJic7Ft6GODXubzSIVmzLiRBm8hs83DrEzjOLD1n32WLUcnR_-Cd8oXr1E-6Sg_LnBp3-aS_BM67EhAlI3M5uLGNNO9CPcJUwxeox1OWy8_Za6IC03335sb_XV34qBCBzwEparDugCNxDO5kZfvnR5Qn_4KStVGsa6iE3LCpZlwR4N5clmGPhcRUFGGXxgRIrOa1QfqChkAqs7IQc5PzInMwm94cUiLfnhiLAc.1Dhtfbz2qyd7z3n2bXTOqFPRG4z4oDUNzyl0MmF7YoI&dib_tag=se&keywords=home%2Bdecoration%2Bitems%2Bfor%2Bliving%2Broom&qid=1756095022&sprefix=home%2B%2Caps%2C288&sr=8-5&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=8567717a56cfafb0b360abb13431fc90&language=en_IN&ref_=as_li_ss_tl,Artvibes Designer Elephant Wooden Wall Hanging for Home Decor | Hamsa Hand Decoration for Livingroom | Modern Artworks Items | Peace Charm Door Accent Decorative Hangings (WH_8506N),₹198.00198.00,-80%,,2025-12-06 14:28:33
https://www.amazon.in/Kaameri-Bazaar-Vasudevaya-Paramatmane-Decoration/dp/B0F37XDTF6?crid=492BPPIHAVOB&dib=eyJ2IjoiMSJ9.awi6bXa9l01_XOAN8vcQcxcdQL029tQTiRPraTy-r4veNsl7yClnjZx4U99dPbg3y87oQnJic7Ft6GODXubzSIVmzLiRBm8hs83DrEzjOLD1n32WLUcnR_-Cd8oXr1E-6Sg_LnBp3-aS_BM67EhAlI3M5uLGNNO9CPcJUwxeox1OWy8_Za6IC03335sb_XV34qBCBzwEparDugCNxDO5kZfvnR5Qn_4KStVGsa6iE3LCpZlwR4N5clmGPhcRUFGGXxgRIrOa1QfqChkAqs7IQc5PzInMwm94cUiLfnhiLAc.1Dhtfbz2qyd7z3n2bXTOqFPRG4z4oDUNzyl0MmF7YoI&dib_tag=se&keywords=home%2Bdecoration%2Bitems%2Bfor%2Bliving%2Broom&qid=1756095022&sprefix=home%2B%2Caps%2C288&sr=8-6&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=4dc64f48388f773cc32534058815b439&language=en_IN&ref_=as_li_ss_tl,"Kaameri Bazaar Wood Hare Krishna Vasudevaya Haraye Paramatmane Krishna Mantra Wall Hanging for Living Room|Home Decoration Item|Wall Art,63 Cm",₹299.00299.00,-50%,,2025-12-06 14:29:10
https://www.amazon.in/Peacock-Figurine-Tabletop-Showpiece-Included/dp/B0CZDSGVRN?crid=492BPPIHAVOB&dib=eyJ2IjoiMSJ9.awi6bXa9l01_XOAN8vcQcxcdQL029tQTiRPraTy-r4veNsl7yClnjZx4U99dPbg3y87oQnJic7Ft6GODXubzSIVmzLiRBm8hs83DrEzjOLD1n32WLUcnR_-Cd8oXr1E-6Sg_LnBp3-aS_BM67EhAlI3M5uLGNNO9CPcJUwxeox1OWy8_Za6IC03335sb_XV34qBCBzwEparDugCNxDO5kZfvnR5Qn_4KStVGsa6iE3LCpZlwR4N5clmGPhcRUFGGXxgRIrOa1QfqChkAqs7IQc5PzInMwm94cUiLfnhiLAc.1Dhtfbz2qyd7z3n2bXTOqFPRG4z4oDUNzyl0MmF7YoI&dib_tag=se&keywords=home%2Bdecoration%2Bitems%2Bfor%2Bliving%2Broom&qid=1756095022&sprefix=home%2B%2Caps%2C288&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=10dd3730f89e4fbbf92c82e0f6d1b7f7&language=en_IN&ref_=as_li_ss_tl,"BEHOMA Metal Dancing Peacock Figurine for Good Luck & Love,Candle Holder for Home Dcor Tabletop Living,Showpiece for Valentine's Day,Birthday(Scented Glass Votive Candle Included),Gold,18.5cm,11cm","₹1,399.001,399.00",-53%,,2025-12-06 14:29:25
https://www.amazon.in/Ellementry-Restive-Face-Ecomix-Sculpture/dp/B0BHT5DJ44?content-id=amzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%3Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07&crid=492BPPIHAVOB&cv_ct_cx=home+decoration+items+for+living+room&keywords=home+decoration+items+for+living+room&pd_rd_i=B0BHT5DJ44&pd_rd_r=2003b1c7-3b4a-4029-8d4f-048ea4f2a401&pd_rd_w=UdXzf&pd_rd_wg=3LauM&pf_rd_p=739e670d-dfb3-4be0-9815-d8c5c0372e07&pf_rd_r=JX3XCETPBJ3GPS18WXMG&qid=1756095022&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=home+%2Caps%2C288&sr=1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1&linkCode=ll1&tag=priceswoop04-21&linkId=e73f1b844240bfa5738c46f263cc690d&language=en_IN&ref_=as_li_ss_tl,"Ellementry Restive Face Ecomix Sculpture - Black, Home Décor Showpiece Figurine for Living Room & Office, Modern Asthetic Tabletop Decorative Accent, Unique Gift Item for Shelf Decoration","₹2,090.002,090.00",,,2025-12-06 14:29:44
https://www.amazon.in/LIFEHAXTORE%C2%AE-Decorating-Finish-Ceramic-Figures/dp/B09DCLP5XT?content-id=amzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%3Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07&crid=492BPPIHAVOB&cv_ct_cx=home%2Bdecoration%2Bitems%2Bfor%2Bliving%2Broom&keywords=home%2Bdecoration%2Bitems%2Bfor%2Bliving%2Broom&pd_rd_i=B09DCLP5XT&pd_rd_r=2003b1c7-3b4a-4029-8d4f-048ea4f2a401&pd_rd_w=UdXzf&pd_rd_wg=3LauM&pf_rd_p=739e670d-dfb3-4be0-9815-d8c5c0372e07&pf_rd_r=JX3XCETPBJ3GPS18WXMG&qid=1756095022&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=home%2B%2Caps%2C288&sr=1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=07e1a4d74f55011a53455499ecc78e63&language=en_IN&ref_=as_li_ss_tl,"LIFEHAXTORE Home Décor Fire Shape Handicraft Resin Table Decorating Matte Finish Ceramic Figures - (White), 7 cm",₹763.91763.91,-62%,,2025-12-06 14:30:01
https://www.amazon.in/amazon-basics-Geometric-Sculpture-Power-Packed/dp/B0DVQ3G3T6?content-id=amzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%3Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07&crid=492BPPIHAVOB&cv_ct_cx=home+decoration+items+for+living+room&keywords=home+decoration+items+for+living+room&pd_rd_i=B0DVQ3G3T6&pd_rd_r=2003b1c7-3b4a-4029-8d4f-048ea4f2a401&pd_rd_w=UdXzf&pd_rd_wg=3LauM&pf_rd_p=739e670d-dfb3-4be0-9815-d8c5c0372e07&pf_rd_r=JX3XCETPBJ3GPS18WXMG&qid=1756095022&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=home+%2Caps%2C288&sr=1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1&linkCode=ll1&tag=priceswoop04-21&linkId=7d92a8e07c705268eea36e0eb169fbe4&language=en_IN&ref_=as_li_ss_tl,"amazon basics Majestic Geometric Lion Sculpture | A Bold Emblem of Strength & Success | Power-Packed Décor Statement Pack of 1, Golden, Resin",₹629.00,,,2025-12-06 14:30:38
https://www.amazon.in/SaleOn-Portable-Storage-Organizer-Earphone/dp/B0D5J6X2ZJ?crid=221036X4843YK&dib=eyJ2IjoiMSJ9.5joc9E_zBzAbtZC3MNDlijRnmGCf8eBCswPTVVITE4JiUlon7OFzm5urCQ3kLbWKG6MvkJQ0bQPbnMr4So-K9TVHZOzo_dltLauCljISAi42kwOGveWtvqLVWBCJ6YSU52cgCOgKKKSrspTA6D1QMHxjE6d3erRRkU--Bi1_TaIfOLw8kTs7sZYkhagdtZNGyHr9TlxdixKRzXo5mWifnT90MWnDCwP40J_IDPwdj2o.Ng6f2_tnAuV3Jhjyq-Naq73h9BHvw587QH_jiHRSrJ4&dib_tag=se&keywords=mobile%2Baccessories%2Ball%2Bitems&qid=1756095059&sprefix=mobile%2Bac%2Caps%2C315&sr=8-4&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=fc0f19a95b30f6728577b4deda54be2f&language=en_IN&ref_=as_li_ss_tl,"SaleOn 8.3x5 Inch Portable Storage Organizer Bag USB Cable, Earphone, Power Bank, Mobile Charger, Hard Disk & Digital Gadgets with Mesh, Dual Zippers & Elastic Loops, Inside Color May Vary",₹294.00294.00,-51%,,2025-12-06 14:30:38
https://www.amazon.in/Satpurush-Refrigerator-Organizer-Containers-Accessories/dp/B0DZT3QQ59?crid=2PBTLB7DRVSZC&dib=eyJ2IjoiMSJ9.Lr36qeqE36OvibURzXmW1Q8bd_muv0mb8r71nbwdCd_QVbUAERY4qikBAZy203l4PmKTHhDVGmekuin0bzJR83boPHAuIImx7iI1PRvQv_MWWfIyeB7FB8iBCLOKUgwj4xbC4jh0iZbVV1GFzRltBpOJ-Vckcb9NPWq1FsxwnHuP1pJv0eCWB1NXGZdMoiUqGUPRlg6OSvJf1HRCpPz22eGid40E1qEXAiEiqwuKxB9MZQZEznT3YJ8MxWcUMRNRWJY41VK8fxh8Heuu_Mzn8uLXgu0FuyMBY3bV4IWcXIY.T3UIx17gOjYQrBxOKzo2yMYPmy-YNlKW5Jpku2fKo2I&dib_tag=se&keywords=home%2Band%2Bkitchen%2Bproducts&qid=1756095359&sprefix=home%2Band%2B%2Caps%2C327&sr=8-1&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=398e12a72cc72b9699ab88025917dc06&language=en_IN&ref_=as_li_ss_tl,"Fridge Storage Containers for Vegetables – 1200 ml (Pack of 6) | Refrigerator Organiser Boxes | Freezer Safe, BPA Free Plastic Fridge Containers | Kitchen Storage Box for Vegetables & Fruits",₹283.00283.00,-72%,,2025-12-06 14:30:39
https://www.amazon.in/Weighing-Balanced-Batteries-Included-A121/dp/B083C6XMKQ?crid=2PBTLB7DRVSZC&dib=eyJ2IjoiMSJ9.Lr36qeqE36OvibURzXmW1Q8bd_muv0mb8r71nbwdCd_QVbUAERY4qikBAZy203l4PmKTHhDVGmekuin0bzJR83boPHAuIImx7iI1PRvQv_MWWfIyeB7FB8iBCLOKUgwj4xbC4jh0iZbVV1GFzRltBpOJ-Vckcb9NPWq1FsxwnHuP1pJv0eCWB1NXGZdMoiUqGUPRlg6OSvJf1HRCpPz22eGid40E1qEXAiEiqwuKxB9MZQZEznT3YJ8MxWcUMRNRWJY41VK8fxh8Heuu_Mzn8uLXgu0FuyMBY3bV4IWcXIY.T3UIx17gOjYQrBxOKzo2yMYPmy-YNlKW5Jpku2fKo2I&dib_tag=se&keywords=home+and+kitchen+products&qid=1756095359&sprefix=home+and+%2Caps%2C327&sr=8-3&linkCode=ll1&tag=priceswoop04-21&linkId=66a47c5ec8fe98ae25c8771e69909e91&language=en_IN&ref_=as_li_ss_tl,"Atom 10Kg Kitchen Weight Machine 6 Months Manufacturer Warranty, Digital Scale with LCD Display, Scale for Home Baking, Cooking & Balance Diet. Machine with capacity 10Kg, SF400/A121,Color May Vary",₹215.00215.00,-64%,,2025-12-06 14:30:51
https://www.amazon.in/Stainless-Julienne-Vegetable-Multi-Functional-Cucumbers/dp/B0DY51ZQTN?content-id=amzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%3Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07&crid=2PBTLB7DRVSZC&cv_ct_cx=home%2Band%2Bkitchen%2Bproducts&keywords=home%2Band%2Bkitchen%2Bproducts&pd_rd_i=B0DY51ZQTN&pd_rd_r=89062144-1b65-481d-b893-2327dcfc3bc7&pd_rd_w=gsCeY&pd_rd_wg=Or4XD&pf_rd_p=739e670d-dfb3-4be0-9815-d8c5c0372e07&pf_rd_r=V9NM0E1MTG1F04M38K92&qid=1756095359&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=home%2Band%2B%2Caps%2C327&sr=1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1&linkCode=ll1&tag=priceswoop04-21&linkId=1c28ff195ab0f1a3a74f172dddf94db8&language=en_IN&ref_=as_li_ss_tl,"2 in 1 Stainless Steel Julienne Vegetable Peeler Multi-Functional Fruit & Veggie Shredder Slicer and Grater for Potatoes, Carrots, Cucumbers (Silver, 18 x 8.2 x 2.4 cm)",₹279.00279.00,-60%,,2025-12-06 14:31:28
